year,trade_salience
1991,0.3777682034291394
1992,0.3796275643593738
1993,0.3613597091102195
1994,0.3438344902268932
1995,0.3473428262229451
1996,0.3764653557743809
1997,0.36465342342007434
1998,0.34715548716944167
1999,0.4405038998830619
2000,0.4285564994711578
2001,0.38956011741760865
2002,0.380946655836244
2003,0.3809171730505395
2004,0.3593861495298757
2005,0.35110800160400063
2006,0.33447738472494215
2007,0.30594519653988045
2008,0.3347157195161395
2009,0.34416597314109293
2010,0.34508023042681335
2011,0.32040047774138986
2012,0.30507207194582664
2013,0.2970818845213625
2014,0.275280340073684
2015,0.28564090285128524
2016,0.2891356539154033
2017,0.27850458149036433
2018,0.26257016826690466
2019,0.2781254333347796
2020,0.26979348698605315
2021,0.2546255080482897
2022,0.25575101679909534
2023,0.2696632126008082
